Aerial Temp (deg C), Ground Hardness 1 (N/mm2), Ground Hardness 2 (N/mm2), Acidity (pH), Potassium (mg/kg), Ambient Light (Lux), Plant Root Temp (deg C), AQI (Index Value)
14.9,-38,255,3.44,12.33,24514.56,18.02,55.68
14.88,-29,255,3.59,12.33,24282.32,18.05,54.57
14.94,-28,255,3.61,12.33,24050.08,18.05,53.94
14.98,-11,255,3.56,11.67,23817.83,17.97,55.64
14.98,-8,255,3.92,11.67,23585.59,18.02,56.66
14.99,-7,255,3.88,11.67,23353.35,18.06,57.58
15.01,-7,255,3.88,11.67,23353.35,18.05,57.6
15.01,5,255,3.9,11.67,23207.12,18.05,56.56
14.98,4,255,3.88,11.67,23060.9,18.06,55.54
14.94,4,255,3.9,11.67,22914.67,18,55.43
15.01,3,255,3.88,11.67,22768.44,17.96,54.94
15.03,2,255,3.89,11.67,22622.21,17.9,55.47
15.05,2,255,3.87,11.67,22475.99,17.88,56.03
15.01,3,255,3.89,11.67,22329.76,17.84,56.08
15.03,2,255,3.88,11.67,22183.53,17.79,54.92
15.24,1,255,3.87,11.67,22037.3,17.75,54.26
15.01,1,255,3.89,11.67,21891.08,17.68,54.06
15.05,1,255,3.88,11.67,21744.85,17.66,54.54
15.07,1,255,3.9,11.67,21598.62,17.61,55.46
15.09,1,255,3.89,11.67,21452.39,17.56,56.23
15.09,0,255,3.89,11.67,21306.17,17.54,56.17
15.09,0,255,3.89,11.67,21159.94,17.52,55.39
15.1,0,255,3.88,11.67,21206.34,17.48,55.95
15.01,0,255,3.91,11.67,21252.74,17.52,54.94
15.06,0,255,3.88,11.67,21299.14,17.49,55.09
15.08,1,255,3.94,11.67,21345.54,17.48,56.91
15.03,1,255,3.95,11.67,21391.94,17.46,57.45
15.06,0,255,3.9,11.67,21438.34,17.39,57.3
15.06,0,255,3.92,11.67,21484.74,17.35,56.32
15.07,0,255,3.89,11.67,21531.14,17.33,55.42
15.04,0,255,3.91,11.67,21577.54,17.28,56.2
14.97,-7,255,3.61,11.67,21623.94,16.93,58.61
15.05,0,255,3.97,11.67,21670.34,16.9,59.54
15.07,240,255,3.92,11.67,21716.74,17,60.12
15.01,0,255,3.99,11.67,21763.14,17,58.86
15.07,240,255,3.93,11.67,21809.54,17,57.68
15.08,240,255,3.95,11.67,21855.94,16.99,57.39
15.06,240,255,3.93,11.67,21902.34,17,57.17
15.06,0,255,3.95,11.67,21948.74,17.01,56.13
15.06,240,255,3.94,11.67,21995.14,17,56.01
15.05,0,255,3.94,11.67,22041.54,17.03,56.03
15.09,0,255,3.97,11.67,21964.99,17.06,57.18
15.06,240,255,3.93,11.67,21888.44,17.04,56.59
15.09,240,255,3.91,11.67,21811.89,17.04,56.44
15.05,240,255,3.94,11.67,21735.33,17.03,57.2
15.09,240,255,3.89,11.67,21658.78,17.04,57.23
15.09,240,255,3.91,11.67,21582.23,17.04,58.05
15.05,0,255,3.98,11.67,21505.68,17.07,57.82
15.08,240,255,3.88,11.67,21429.13,17.09,57.42
15.08,240,255,3.95,11.67,21352.58,17.04,57.58
14.87,240,255,3.92,11.67,21276.02,17.01,57.43
15.07,240,255,3.95,11.67,21199.47,17.01,57.41
15.05,240,255,3.96,11.67,21122.92,16.97,58.49
15.05,240,255,3.98,11.67,21046.37,16.97,58.83
15.05,240,255,3.94,11.67,20969.82,16.93,58.94
15.09,240,255,3.94,11.67,20893.27,16.93,58.18
15.03,255,255,3.92,11.67,20816.71,16.9,56.97
15.07,240,255,3.95,11.67,20740.16,16.84,56.32
15.08,255,255,3.95,11.67,20663.61,16.83,56.69
15.04,255,255,3.93,11.67,20587.06,16.81,56.5
15.06,240,255,3.95,11.67,20510.51,16.8,55.85
15.08,240,255,3.96,11.67,20433.96,16.8,55.97
15.06,240,255,3.97,11.67,20357.4,16.79,56.18
15.05,255,255,3.94,11.67,20280.85,16.73,55.5
15.05,255,255,3.89,11.67,20204.3,16.7,55.48
14.86,255,255,3.91,11.67,20127.75,16.66,56.09
15.06,255,255,3.91,11.67,20209.24,16.63,56.23
15.01,255,255,3.9,11.67,20290.73,16.62,56.45
15,255,255,3.93,11.67,20372.22,16.6,56.46
15.06,255,255,3.94,11.67,20453.7,16.59,56.79
15.03,240,255,3.94,11.67,20535.19,16.59,56.92
15.21,255,255,3.9,11.67,20616.68,16.56,56.96
15.01,255,255,3.94,11.67,20698.17,16.6,56.98
15.01,255,255,3.91,11.67,20779.66,16.59,57.61
15.01,255,255,3.95,11.67,20861.15,16.59,58.48
14.99,255,255,3.91,11.67,20942.63,16.59,58.43
14.98,255,255,3.92,11.67,21024.12,16.63,58.34
15.04,255,255,3.97,11.67,21105.61,16.63,57.9
14.98,255,255,3.91,11.67,21187.1,16.64,58.04
15.02,255,255,3.92,11.67,21268.59,16.67,57.8
15.02,255,255,3.93,11.67,21350.08,16.69,57.46
15.01,255,255,3.92,11.67,21431.56,16.71,57.35
14.98,255,255,3.91,11.67,21513.05,16.74,57.13
14.99,255,255,3.95,11.67,21594.54,16.79,57.15
15.01,255,255,3.93,11.67,21676.03,16.83,57.45
15.01,255,255,3.96,11.67,21030.91,16.86,57.24
15.01,255,255,3.96,11.67,21547.01,16.87,58.02
14.98,255,255,3.97,11.67,21547.01,16.9,58
15.04,255,255,3.94,11.67,21547.01,16.88,56.85
14.99,255,255,3.98,11.67,21547.01,16.91,55.93
15.01,255,255,3.95,11.67,21547.01,16.9,55.21
15.01,255,255,3.97,11.67,21547.01,16.91,54.88
15.05,255,255,3.93,11.67,21676.03,16.9,54.89
15.06,255,255,3.93,11.67,21547.01,16.93,55.32
15.07,255,255,3.92,11.67,21676.03,16.91,55.09
15.06,255,255,3.95,11.67,21676.03,16.93,55.05
15.06,255,255,3.94,11.67,21676.03,16.9,56.12
15.1,255,255,3.97,11.67,21805.06,16.9,57.14
15.11,255,255,3.96,11.67,22192.13,16.91,55.94
15.08,255,255,3.95,11.67,21805.06,16.9,55.08
15.05,255,255,3.96,11.67,21805.06,16.9,55.47
15.1,255,255,3.96,11.67,21805.06,16.88,55.71
15.09,255,255,3.97,11.67,22192.13,16.88,56.52
14.86,255,255,3.96,11.67,21805.06,16.87,56.09
15.08,255,255,3.98,11.67,22192.13,16.9,55.24
15.06,255,255,3.96,11.67,21805.06,16.88,54.73
15.07,255,255,3.95,11.33,22192.13,16.87,54.73
15.06,255,255,3.95,11.33,22192.13,16.88,54.9
15.05,255,255,3.95,11.33,22192.13,16.9,55.15
15.1,255,255,3.96,11.33,22321.15,16.91,56.46
15.03,255,255,3.97,11.33,22579.2,16.88,57.45
15.06,255,255,3.99,11.33,22321.15,16.88,57.75
15.02,255,255,3.94,11.33,22450.18,16.87,57.62
15.06,255,255,3.95,11.33,22321.15,16.87,57.52
15.04,255,255,3.94,11.33,22450.18,16.87,56.98
15.04,255,255,3.95,11.33,22450.18,16.84,56.55
15.05,255,255,3.95,11.33,22579.2,16.84,56.27
15.03,255,255,3.97,11.33,22579.2,16.83,55.83
15.01,255,255,3.96,11.33,22708.22,16.83,56.15
15.03,255,255,3.95,11.33,23353.35,16.83,56.3
15.01,255,255,3.96,11.33,22708.22,16.8,56.46
15.05,255,255,3.95,11.33,22837.25,16.8,56.15
15.06,255,255,3.95,11.33,23353.35,16.79,56
15,255,255,3.96,11.33,22837.25,16.79,56
14.94,255,255,3.96,11.33,23353.35,16.79,56.22
15.02,255,255,3.96,11.33,23353.35,16.79,57.67
15.01,255,255,3.97,11.33,22837.25,16.81,59
14.98,255,255,3.98,11.33,23353.35,16.83,59.17
14.83,255,255,3.97,11.33,23353.35,16.83,58.3
15.04,255,255,3.97,11.33,23353.35,16.87,58.36
15,255,255,3.95,11.33,23482.37,16.87,58.87
15.01,255,255,3.96,11.33,23353.35,16.84,59.04
15.03,255,255,3.93,11.33,23482.37,16.86,58.73
15.04,255,255,3.97,11.33,23353.35,16.84,58.78
14.99,255,255,3.95,11.33,23611.4,16.84,58.51
15.03,255,255,3.95,11.33,23353.35,16.83,58.48
14.99,255,255,3.95,11.33,23353.35,16.81,57.33
14.98,255,255,3.94,11.33,23353.35,16.8,57.19
14.99,255,255,3.94,11.33,23611.4,16.8,57.76
14.98,255,255,3.93,11.33,23740.42,16.81,58.19
15.05,255,255,3.96,11.33,23740.42,16.83,59.1
15.05,255,255,3.97,11.33,23611.4,16.84,58.88
15.02,255,255,3.97,11.33,22966.27,16.84,58.53
15.04,255,255,3.95,11.33,23611.4,16.79,58.25
15,255,255,3.98,11.33,22966.27,16.81,58.5
14.98,255,255,3.99,11.33,23611.4,16.79,59.42
15.02,255,255,3.98,11.33,22966.27,16.8,58.85
15,255,255,3.92,11.33,22966.27,16.8,58.33
15.01,255,255,3.96,11.33,23095.3,16.8,58.3
15.05,255,255,3.92,11.33,23353.35,16.8,58.93
15.02,255,255,3.95,11.33,23095.3,16.8,58.95
